"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"2.5304",-0.18057,0.17517,-0.015778,0.11826,0.152,-0.11827,0.19002,-0.11994,0.10478,0.048765,0.081834,-0.083648,-0.041218,0.077907,0.063082,0.12949,0.023544,-0.054481,-0.028792,-0.026398,0.046172,-0.016686,-0.046813,0.014529,0.02825,0.012837,-0.017842,0.0024011,-0.00055912,-0.15621,-0.08296,-0.050047,-0.068324,0.055641,0.1505,0.033768,-0.045279,-0.09669,0.012943,0.001946,-0.16911,-0.023532,-0.10323,0.058298,0.057739,0.05897,-0.0085165,-0.048278,0.093992,0.023864
"2.56195",-0.19205,0.14544,0.024099,0.053632,0.13754,-0.16418,0.099139,-0.17511,0.077887,-0.017205,0.042531,-0.046316,-0.0041456,0.019278,0.043672,0.067366,0.026591,-0.0098681,-0.0089957,-0.0064537,0.024026,0.034639,-0.1067,0.018412,0.058068,0.093671,0.064399,-0.03081,0.012488,-0.10592,-0.052257,0.011569,-0.05269,-0.0071321,-0.055397,0.022501,-0.047472,-0.033268,0.17933,0.067957,0.062022,-0.067494,0.011375,0.036722,-0.077874,-0.014915,0.084461,-0.0029956,0.001324,-0.0049037
"2.6188",-0.00098182,0.036196,-0.017781,0.026381,0.11324,0.06886,-0.194,0.11066,0.09279,-0.020825,0.20984,0.034699,-0.19035,0.10252,0.00052519,-0.065764,-0.070909,-0.020632,-0.00074511,0.022387,-0.025252,-0.016968,0.072413,-0.075653,0.078086,0.18953,-0.013438,-0.017581,0.17075,0.2945,0.0067328,0.14818,-0.096462,0.065097,0.040621,0.048641,0.0059371,0.040558,0.096298,0.0018293,-0.1599,-0.069387,0.1127,-0.088411,0.16209,0.096069,0.012223,0.045555,0.11159,-0.10483
"2.6713",-0.18837,0.14498,-0.0068654,0.021066,0.11889,-0.19648,0.073551,-0.22966,0.02167,0.079853,-0.043421,-0.017785,-0.12683,-0.016607,0.091798,0.011489,0.13524,0.024347,0.0041294,-0.15828,0.019245,0.0082304,-0.090637,0.15105,0.17929,-0.03126,0.056484,-0.020052,0.020418,-0.096263,0.056535,-0.061606,-0.069121,0.0077516,-0.079596,-0.10069,-0.015208,0.18389,0.18843,0.11108,-0.030737,0.05667,-0.10214,0.068479,0.062043,-0.095918,0.035805,-0.020227,-0.0079929,-0.049555
"2.7019",-0.22081,0.13854,0.050516,0.063775,0.12035,-0.10927,0.094598,-0.096822,0.087305,-0.085552,0.11905,0.017909,0.038211,0.028232,0.017298,0.066622,-0.015944,-0.02172,0.013703,0.14873,-0.048499,0.10381,-0.010755,0.030443,-0.055515,0.11448,-0.12939,0.061232,0.006197,-0.072811,-0.099692,0.0065549,0.032082,-0.15362,-0.056354,0.14111,0.06836,0.0096452,-0.083797,-0.098806,0.1063,-0.26811,-0.062786,-0.21605,-0.011078,0.12359,-0.059786,-0.075376,0.030247,0.16105
"2.72625",0.047762,0.025983,-0.099108,0.21874,0.021785,0.048455,0.02421,0.16589,-0.081893,-0.033663,0.035779,-0.17332,0.21877,0.10387,0.14812,-0.10126,0.025609,-0.24145,-0.089924,0.20747,-0.15143,0.0044988,0.18138,0.092932,0.092871,-0.0043472,0.19483,-0.1586,-0.05788,-0.090752,-0.044329,0.086386,0.042223,0.085123,-0.15719,0.12428,0.020961,-0.038718,-0.048905,-0.1167,-0.094445,-0.0055742,0.13878,0.18428,0.029833,0.091666,0.076275,-0.17142,0.01581,0.016372
"2.7571",0.16616,-0.047443,-0.23044,-0.019261,-0.095234,0.14154,-0.044347,-0.13336,-0.0040827,0.27603,0.28354,-0.00081204,-0.30159,-0.046301,0.2236,0.07983,-0.096192,0.13744,-0.092361,0.15741,0.028147,0.18741,-0.014795,0.15211,0.070201,-0.23783,0.030432,-0.03793,0.016027,-0.058286,-0.024786,0.013541,-0.00098679,-0.0036282,0.014319,0.078776,-0.042826,0.02507,-0.079977,0.059109,0.050145,-0.12733,-0.11619,-0.012938,-0.043967,-0.027231,0.04586,-0.0096791,-0.074395,-0.18707
"2.7833",0.12011,0.013856,-0.17075,0.042532,-0.019118,-0.008365,0.079646,-0.052961,-0.14966,-0.1291,0.035037,-0.056202,0.036327,-0.055853,0.015793,0.050049,0.088705,0.043514,0.12587,0.06494,-0.03279,0.02015,0.036586,0.10999,0.24553,-0.12687,-0.13321,0.10795,0.00050958,0.029006,-0.0031994,-0.0092807,-0.078495,0.31513,0.0042256,-0.10143,-0.15607,0.020292,0.19965,-0.061922,-0.039442,-0.14318,0.30354,-0.064886,-0.22603,0.047449,0.095042,0.17469,-0.043169,0.097365
"2.8333",0.14665,-0.015169,-0.14539,-0.076544,0.1047,-0.054328,0.09034,-0.108,-0.12123,0.15526,0.0044472,-0.044052,0.021566,-0.0055545,0.076045,-0.00065648,0.169,0.0042269,-0.024215,0.12566,-0.077919,-0.018467,0.032499,-0.11649,0.027254,-0.1121,-0.15919,0.15144,0.0026118,-0.06687,-0.25256,-0.12226,0.093131,0.023452,0.040541,0.068819,0.11728,0.063584,0.013474,-0.014982,-0.16244,0.18721,-0.087446,-0.027443,-0.080552,0.091703,0.070641,-0.10789,-0.018331,0.052165
"2.87505",0.034304,0.013467,-0.013957,-0.10575,0.015033,-0.11141,-0.10752,0.1718,0.065386,0.014545,0.065577,-0.049959,0.00022112,0.016729,0.035339,0.091477,-0.025123,0.039282,0.0081072,-0.1242,-0.01408,-0.037094,-0.050784,-0.035614,0.015043,0.11939,0.016252,0.00044471,-0.035267,-0.017288,-0.055464,-0.016147,0.11364,0.041251,-0.074489,0.051859,0.12534,0.20041,0.040552,0.011598,-0.07673,0.040323,0.04027,0.0016383,0.088852,-0.068404,0.077398,0.16859,-0.060148,0.063768
